Bobot & bias berhasil dimuat.
Menjalankan 8 worker thread (dynamic load balancing)...
[Worker 1 | CPU  0] Layer 7 memproses Frame  34 | Waktu: 0.01292 detik
[Worker 4 | CPU  0] Layer 6 memproses Frame  36 | Waktu: 0.00633 detik
[Worker 0 | CPU  0] Layer 5 memproses Frame  37 | Waktu: 0.00442 detik
[Worker 7 | CPU  0] Layer 1 memproses Frame  40 | Waktu: 0.00464 detik
[Worker 0 | CPU  0] Layer 6 memproses Frame  37 | Waktu: 0.00308 detik
[Worker 2 | CPU  0] Layer 2 memproses Frame  38 | Waktu: 0.01134 detik
[Worker 2 | CPU  0] Layer 3 memproses Frame  38 | Waktu: 0.00311 detik
[Worker 5 | CPU  0] Layer 7 memproses Frame  35 | Waktu: 0.01496 detik
[Worker 2 | CPU  0] Layer 4 memproses Frame  38 | Waktu: 0.00305 detik
[Worker 4 | CPU  0] Layer 7 memproses Frame  36 | Waktu: 0.01217 detik
[Worker 6 | CPU  0] Layer 2 memproses Frame  39 | Waktu: 0.01792 detik
[Worker 7 | CPU  0] Layer 2 memproses Frame  40 | Waktu: 0.01482 detik
[Worker 6 | CPU  0] Layer 3 memproses Frame  39 | Waktu: 0.00305 detik
[Worker 2 | CPU  0] Layer 5 memproses Frame  38 | Waktu: 0.00671 detik
[Worker 0 | CPU  0] Layer 7 memproses Frame  37 | Waktu: 0.01538 detik
[Worker 2 | CPU  0] Layer 6 memproses Frame  38 | Waktu: 0.00308 detik
[Worker 6 | CPU  0] Layer 4 memproses Frame  39 | Waktu: 0.00381 detik
